商品コード,商品コメント1,商品コメント2,商品コメント3,商品コメント4,商品コメント5,商品コメント6,商品コメント7,商品コメント8,商品コメント9,購入時メッセージ
12618,"<span class=""itemComment"">フランスのエスプリを感じさせるシャンボールの2Wayショルダーバッグ「CH.510　ロシュ/Loches」。<br/>シンプルさを追求し、余分な物を削ぎ落とした気品溢れるデザイン。<br/>外装はソフトなシボ革Lagunを使用し、体に沿うように持てます。<br/>内張りには高級感があり、手触りも滑らかコットン生地を使用しています。<br/>荷室はA4サイズのファイルが入る大きさで、通帳が入る大きさのファスナーポケットがあります。<br/>ショルダーストラップはバックル部分で折り返し二重にするショートバージョンと、バックル部分留めてしまうロングバージョンの2通りのアレンジが可能です。<br/>ストラップの先にはホール間隔が約3cmのピンホールが4つあり、そこでも長さ調節が可能です。<br/>手提げや、肩掛けの時はショートバージョン、斜めがけはロングバージョンとスタイル合わせてアレンジ。<br/>流線形のフォルムがエレガントで、有名メゾンのファクトリーとして培ったデザイン性と作りの確かさからくる強烈な存在感があります。
</span>",,,,,,,,,
12621,"<span class=""itemComment"">素材の良さがいきるシンプルなデザインのメッシュベルト。</br>薄く小さくシンプルなバックルがスリムなパンツにマッチします。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>全長（バックル含む）</th><th>最適ウエスト</th></tr>
<tr><td class=""col01"">80</td><td>98cm</td><td>77～83cm</td></tr>
<tr><td class=""col01"">85</td><td>103cm</td><td>82～88cm</td></tr>
<tr><td class=""col01"">90</td><td>108cm</td><td>87～93cm</td></tr>
</table></td></tr></table>
",,,,,,,,
12624,"<span class=""itemComment"">バブアーの定番スタイルに現代性を持たせたSLシリーズのビデイル（Bedale）。<br />元々乗馬用に開発されたビデイルを、タウンユースにモデファイしスリムフィットにしたのがビデイルSLです。<br />最高級のエジプトコットンを独自のワックスで処理したオイルドコットンは、通気性と防水性を両立させています。<br />触った感じはオイル感がありますが、においはほとんどありません。<br />経年変化を楽しめるのもバブアーの魅力です。<br />ビデイルは元々乗馬用のため、裏地の上部はコットンで、下部は耐久を重視しナイロンになっています。<br />襟はコーデュロイで、風よけのチンフラップ付き。<br />脇下は通気を高めるベンチレーションホールがあります。<br />袖口内はニットリブが配され風雨の侵入を防ぎます。<br />フロントはダブルジップ＆比翼スナップ仕様で、ジッパーのタブはグローブをしたままの開閉を考慮した大型リングになっています。<br />前面には内部にフリース状のコットン生地を配したハンドウォーマーとマチありのフラップポケットがあります。<br />ヒストリーを物語るクラシックなディテールがてんこ盛りの一着です。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着丈</th><th>胸囲</th><th>裄丈</th><th>最適胸囲</th></tr>
<tr><td class=""col01"">34</td><td>70cm</td><td>98cm</td><td>80cm</td><td>79～84cm</td></tr>
<tr><td class=""col01"">36</td><td>72cm</td><td>103cm</td><td>83cm</td><td>84～89cm</td></tr>
<tr><td class=""col01"">38</td><td>74cm</td><td>108cm</td><td>85cm</td><td>89～94cm</td></tr>
<tr><td class=""col01"">40</td><td>76cm</td><td>112cm</td><td>87cm</td><td>93～97cm</td></tr>
<tr><td class=""col01"">42</td><td>77cm</td><td>116cm</td><td>88cm</td><td>97～101cm</td></tr>
</table></td></tr></table>
",,,,,,,,
12633,"<span class=""itemComment"">フィレンツェ在住の鞄職人、大平智生氏が手掛けるバッグ、「シセイ」。<br />シンプルさを追求し、余分な物を削ぎ落とした高級感のある気品あるデザイン。<br />外装は高級感あふれるシボ革「リンドス」。<br />柔らかな革の質感と、高い撥水力を生かした実用性という両面を兼ね備えています。<br />ライニングには豚革を用いており、高級感をより高めるとともに、バッグの型崩れを防ぎます。<br />やや長めに取られたハンドルには高級鞄の証である革芯を用いているので、手に馴染みやすく、しっかりとした握り心地です。<br />ハンドルは腕に通すことが出来るので、レザーブリーフとしてもトートバッグとしても使える非常に使い勝手の良いサイズ感です。<br />本体底部には真鍮を使った鋲が5つ付いており、しっかりと鞄を自立させることが出来ます。<br />荷室はボタンで容易に開け閉め可能で、大型のポケットが２つとファスナー式のポケットが１つ付いているので荷物をコンパクトに収納できます。<br />とても使いやすい作りでありながら高級感のある佇まいは、日本人らしい繊細な感性と、フィレンツェの高級鞄メーカーでの長年の修行経験が融合した傑作のバッグです。
</span>",,,,,,,,,
12635,"<span class=""itemComment"">シンプルなドレスカーフベルト。</br>スーツスタイルなどビジネスシーンで活躍してくれます。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>全長（バックル含む）</th><th>トップホール</th><th>センターホール</th><th>ラストホール</th></tr>
<tr><td class=""col01"">75</td><td>91cm</td><td>80cm</td><td>75cm</td><td>70cm</td></tr>
<tr><td class=""col01"">80</td><td>96cm</td><td>85cm</td><td>80cm</td><td>75cm</td></tr>
<tr><td class=""col01"">85</td><td>101cm</td><td>90cm</td><td>85cm</td><td>80cm</td></tr>
<tr><td class=""col01"">90</td><td>106cm</td><td>95cm</td><td>90cm</td><td>85cm</td></tr>
</table></td></tr></table>
",,,,,,,,
12636,"<span class=""itemComment""><a href=""http://glober.jp/info/exchange.aspx""><font color='red'>セール商品は理由の如何を問わず返品・交換対象外です。<br />詳しくはこちら。<br />返品・交換について</font></a></li></ul><br /><br />ショットの日本定番となるダッフルコート。<br />素材は軽く着やすい24オンスのウールメルトン。<br />生産はメルトンコートの本場アメリカで、企画は日本。<br />日本人体系にフィットするスリムなデザインです。<br />身頃と袖に入ったポリエステルの裏地は滑りがよく、快適な着心地です。<br />トグルは味がある木製を使用しています。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着丈</th><th>胸囲</th><th>肩幅</th><th>袖丈</th><th>最適胸囲</th></tr>
<tr><td class=""col01"">36</td><td>69cm</td><td>100cm</td><td>42cm</td><td>62cm</td><td>84～88cm</td></tr>
<tr><td class=""col01"">38</td><td>71cm</td><td>104cm</td><td>44cm</td><td>63cm</td><td>88～92cm</td></tr>
<tr><td class=""col01"">40</td><td>73cm</td><td>108cm</td><td>45cm</td><td>64cm</td><td>92～96cm</td></tr>
<tr><td class=""col01"">42</td><td>75cm</td><td>112cm</td><td>46cm</td><td>65cm</td><td>96～100cm</td></tr>
</table></td></tr></table>
",,,,,,,,
12640,"<span class=""itemComment""><h5>【GLOBER別注】</h5>ホワイトハウスコックスのレアモデル、収納部が２つの小銭入れです。<br />いくつものパーツを巧みに使い、ブラック×レッドの２トーン仕様にしました。<br />コインの取り出しやすさを考えて、マチ幅はとても広く作られています。

<br /><br />ブライドルレザー製品特有の白い粉状のブルームはそのままの状態で発送させていただいております。<br />ブルームは柔らかい布で拭いたり、ブラッシングすると取れます。</span>",,,,,,,,,
12644,"<span class=""itemComment"">フォックスの商品の中で最もベーシックでベストセラーになっている紳士用傘 GT1。<br />フォックス最大の特徴である細巻き用メタルシャフトを使用。<br />細身のスーツにマッチします。<br /><br />[修理に関して]<br />本商品は材料あるいは製造過程に起因する修理の必要が生じた場合、保障規定に基づき、ご購入から1年間無料で修理いたします。<br /><a href=""http://blog.glober.jp/?p=1526#repair""><u>修理に関してはこちら</a></u>をご確認ください。<br />
</span>",,,"<p>フォックスの商品の中で最もベーシックでベストセラーになっている紳士用傘 GT1。<br />フォックス最大の特徴である細巻き用メタルシャフトを使用。<br />細身のスーツにマッチします。<br /><br />[修理に関して]<br />本商品は材料あるいは製造過程に起因する修理の必要が生じた場合、保障規定に基づき、ご購入から1年間無料で修理いたします。<br />修理に関するお問い合わせはこちらまでお願いいたします。<br />正規代理店　フォックス・アンブレラズ ジャパン 株式会社　TEL:03-5464-5257</p><ul class=""link1""><li><a href=""http://blog.glober.jp/?p=1526"">ブランド</a></li></ul>

<table class=""stripeTable"">
<tr>
<th scope=""row"">商品コード</th>
<td>126441511</td>
</tr>

<tr>
<th scope=""row"">カラー</th>
<td>フレンチネイビー</td>
</tr>

<tr>
<th scope=""row"">サイズ</th>
<td>フレンチネイビー</td>
</tr>

<tr>
<th>カラー :</th>
<td>フレンチネイビー</td>
</tr>
<tr>
<th>サイズ :</th>
<td>全長：93cm<br>直径：101cm<br>持ち手：18cm</td>
</tr>
<tr>
<th>素材 :</th>
<td>ハンドル：ダークウッド<br>かさ生地の組成：ポリエステル100%</td>
</tr>
<tr>
<th>原産国 :</th>
<td>英国</td>
</tr>
<tr>
<th>シャフト :</th>
<td>メタル</td>
</tr>
<tr>
<th>メーカー保証 :</th>
<td>1年間</td>
</tr>
<tr>
<th>付属品 :</th>
<td>製品保証書<br>ギフト用リボン付カバー</td>
</tr>
<tr>
<th>ギフト :</th>
<td>ブランドオリジナルパッケージ</td>
</tr>


</table>

<div style='margin-top:3px;text-align:right;'><a href='http://glober.jp/info/size.aspx#umbl' target='_blank'>サイズの測り方について<img src='http://glober.jp/img/common/parts/icon_externallink.gif' width='10' height='12' /></a></div>


",,,,,,
12661,"<span class=""itemComment"">ホワイトハウスコックスのメンテナンス用品が一度に揃う3点セット。<br />ホワイトハウスコックス社特製のエンベロープに入れてお届けします。<br /><br />S9169 ケアブラシ<br />ブラシ上部はキャンバスとブライドルレザーの「ニュートン」を使用。<br />ブラシ部分には贅沢にも馬の髪の毛を使用しています。<br />ホワイトハウスコックスコレクションの革製品だけでなくお手持ちの革製品すべてにご利用いただけるブラシです。<br /><br />Sft009 ブライドルレザー・レザーフード<br />ブライドルレザーをロウ引きするときに使用するロウと同じ成分で出来ているブライドルレザー専用ワックスです。<br />ブライドルレザーの中へ浸透していき、ブライドルレザーの性質を保持します。<br />乾いて硬くなってしまったブライドルレザーでも定期的に使用するとオイルが浸透し、革が柔らかくなり、元のブライドルレザーの状態に戻ります。<br />同時に色に深みが増します。<br /><br />Sft007 レザーバーム<br />「レザーバーム」の主成分は、ホホバオイルとその他のオイルやワックスです。<br />ブライドルレザーだけでなく、カーフにも使用できます。<br />革の内側に浸透していくものではなく、革表面の保護とつや出しに最適です。<br />少量を革の表面全体に丁寧に薄くのばし、一晩置いて染み込ませ、翌日に余分をブラシで落とすとベストです。

<br /><br />ブライドルレザー製品特有の白い粉状のブルームはそのままの状態で発送させていただいております。<br />ブルームは柔らかい布で拭いたり、ブラッシングすると取れます。</span>",,,,,,,,,
12674,"<span class=""itemComment"">アッパーに柔らかくしっとりとしたスウェードを使用したカントリーシューズ。<br />インソールにもアッパーと同じスウェードレザーを使用した贅沢な仕様。<br />アウトソールは超軽量のブリックソール。<br />チノパン、デニム、ショーツとパンツを選ばず、季節もオールシーズン使える汎用性の高いモデルです。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着用感</th><th>アウトソール全長</th><th>アウトソール最大幅</th><th>ヒール高</th></tr>
<tr><td class=""col01"">39</td><td>25.5cm</td><td>28.9cm</td><td>10.3cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">40</td><td>26.0cm</td><td>29.6cm</td><td>10.4cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">41</td><td>26.5cm</td><td>30.3cm</td><td>10.4cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">42</td><td>27.0cm</td><td>31.0cm</td><td>10.6cm</td><td>2.5cm</td></tr>
<tr><td class=""col01"">43</td><td>27.5～28.0cm</td><td>31.7cm</td><td>10.8cm</td><td>2.5cm</td></tr>
</table></td></tr></table>
",,,,,,,,
12699,"<span class=""itemComment"">A4ファイルがジャストで入る舟形トートバッグ。<br />素材は英国本格靴のライニングに使用されている上質レザーで「シューレザー」と命名されています。<br />自然な革のしわがオリジナリティある雰囲気を作り出しています。<br />内部は前後にファスナーポケットとオープンポケットが配置されています。<br />コットンのライニングはシックなボルドーカラー。<br />ショルダーストラップは厚手のコットン素材で、洋服に合わせやすい黒×白のモノトーンの配色です。<br />とても軽く作られており、長時間持っていても疲れません。<br />毎日の通勤におすすめのバッグです。
</span>",,,,,,,,,
12700,"<span class=""itemComment"">A4ファイルがストレスなく入るトートブリーフ。<br />素材は英国本格靴のライニングに使用されている上質レザーで「シューレザー」と命名されています。<br />自然な革のしわがオリジナリティある雰囲気を作り出しています。<br />内部は前後にファスナーポケットとオープンポケットが配置されています。<br />ハンドルはしっかりと丸みが作られており、持ちやすいハンドルです。<br />コットンのライニングはシックなボルドーカラー。<br />とても軽く作られており、長時間持っていても疲れません。<br />毎日の通勤におすすめのバッグです。
</span>",,,,,,,,,
12701,"<span class=""itemComment"">2つのメイン室を備えたボストンバッグ。<br />素材は英国本格靴のライニングに使用されている上質レザーで「シューレザー」と命名されています。<br />自然な革のしわがオリジナリティある雰囲気を作り出しています。<br />メイン室の片方は、上部のみファスナーが開く使用。<br />大切な書類やツールをしっかりキープできます。<br />もう片方のメイン室はファスナーが全開できるので、出張の衣類や大きな荷物を収納可能です。<br />オープンポケットと、シャツなどを仕分けしやすいスナップボタン付きのカバーがついています。<br />メイン室の前後にはマグネットボタン付きのポケットがあり、移動時間に目を通したい新聞などを入れられます。<br />ハンドルはしっかりと丸みが作られており、持ちやすいハンドルです。<br />コットンのライニングはシックなボルドーカラー。<br />とても軽く作られており、長時間持っていても疲れません。<br />毎日の通勤におすすめのバッグです。
</span>",,,,,,,,,
12756,"<span class=""itemComment"">ネオB4ライナーはブリーフ、ショルダーの2ウェイモデルでブリーフィングを代表する定番のブリーフケース。<br />ビジネスでもカジュアルでもトラベルでもいけるオールラウンドモデルです。<br />前面の２室のエキストラポケットをはじめ、メッシュポケット、ペンホルダー、着脱式キーリングなどの収納装備が満載。<br />iPhone、iPad、充電器、携帯バッテリー、イヤホン、USBメモリーなど増え続けるガジェットを使いやすく収納することが可能です。<br />メインの荷室は薄目のパッドで2つに分かれ、PCや資料とワイシャツなどを仕分けしやすい構造になっています。<br />前後と底板にはウレタンパッドが内蔵されており、PCの持ち運びも安心。<br />底板は立ててマチを薄くすることもできるので、荷物の量に合わせて使えます。<br />背面にはキャリーケースのハンドルにかけるストラップを設置。<br />ブリーフィングのT-1やD-1などキャリーケースのサブバッグとしても使えます。<br /><br />ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。
</span>",,,,,,,,,
12757,"<span class=""itemComment"">ジムパックはジムでの利用を想定したトートバッグ。<br />サイズは1～2泊程度の旅行にも使える大容量。<br>メイン室の内側はシューズポケットがついているので、ジムだけでなく、ゴルフなどあらゆるスポーツにおすすめです。<br />フロントのオープンポケットはテニスラケットがジャストで入る大きさです。<br />背面にはショルダーストラップがつき、肩に背負えるので、他に荷物がある時の持ち運びも便利。<br />メイン室の上部は巾着状のカバーがついており、大きく開くので荷物の出し入れが容易です。
</span>",,,,,,,,,
12758,"<span class=""itemComment"">ボストンバッグ的な大容量を誇るショルダーバッグ「クーリエ プロ」。<br />メイン室は内側前後にオープンポケットがそれぞれ2つ、合計4つあります。<br />ファスナーは大きく開くのでパッキングなどが容易です。<br />前面のマチ付きポケットは内側にはポケットが3つあり、PCやスマートフォンなどのケーブル、USBメモリーなどを機能的に収納可能。<br />さらにその片方には着脱式キーホルダーが付いています。<br />左右の側面についたファスナーポケットもマチがあり、分厚い財布なども楽々収納可能です。<br />ショルダーストラップは長さを変えて、肩掛けでも斜め掛けでも使用可能。<br />全てのジッパーは裏使いされ、スライダーは比翼で覆われており、雨が侵入しにくい構造です。
</span>",,,,,,,,,
12759,"<span class=""itemComment"">ブリーフィングのiPadケース。<br />80デニールのリップストップナイロンを使用。<br />内装は薄いクッション性のあるメッシュ地を使用し、衝撃を吸収します。<br />オレンジの縁取りは、米軍基地の飛行場で航空機を誘導する旗と同素材を使用。<br />ブリーフィングらしいしたこだわりの仕様です。<br />単体で手持ちできるスタイリッシュなデザイン、かつバッグインバッグと使用してもかさばらないシンプルなデザインです。<br /><br />スマホや手帳などを入れての社内移動にも便利。
</span>",,,,,,,,,
12762,"<span class=""itemComment"">ブリーフィングのポーチ。<br />80デニールのリップストップナイロンを使用。<br />内装は薄いクッション性のあるメッシュ地を使用し、衝撃を吸収します。<br />オレンジの縁取りは、米軍基地の飛行場で航空機を誘導する旗と同素材を使用。<br />ブリーフィングらしいしたこだわりの仕様です。<br />ゲーム機や通帳、化粧品など、少し大きめの小物でも収納できるので使い方を問いません。<br />バッグから取り出した時に人目を引くお洒落アイテムです。<br /><br />ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。
</span>",,,,,,,,,
12763,"<span class=""itemComment"">ブリーフィングのポーチ。<br />80デニールのリップストップナイロンを使用。<br />内装は薄いクッション性のあるメッシュ地を使用し、衝撃を吸収します。<br />オレンジの縁取りは、米軍基地の飛行場で航空機を誘導する旗と同素材を使用。<br />ブリーフィングらしいしたこだわりの仕様です。<br />ゲーム機や通帳、化粧品など、少し大きめの小物でも収納できるので使い方を問いません。<br />バッグから取り出した時に人目を引くお洒落アイテムです。<br /><br />ブリーフィングは米国の本物の軍需工場の手により生産される、ミリタリー・スペック（米軍仕様）のバッグです。<br />ミル・スペックに準拠したへヴィディーティな素材やパーツ、そして機能が、タウンユースに必要な機能とデザインに見事に昇華されています。
</span>",,,,,,,,,
12790,"<span class=""itemComment"">キーケースと小銭入れが一体となった小銭入れ、Portale（ポルターレ）。<br />小銭入れには、折り畳んだお札なども収納し、ミニ財布としての使用も可能です。<br />キーケース部分は、ファスナーで開閉し、鍵を落とす心配がありません。
</span>",,,,,,,,,
12807,"<span class=""itemComment"">バブアーのジャケット「International SL」、「Bewick SL」、「Bedail SL」用のファーライナー。<br />内側左右についたジッパーと襟部分についたボタンで簡単に装着できます。<br />パイル生地は毛足が長く、柔らかな肌触りと高い保温性能が特徴です。<br />便利な内ポケット付きです。<br />お持ちのジャケットと同じサイズをお選び下さい。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着丈</th><th>胸囲</th><th>肩幅</th></tr>
<tr><td class=""col01"">34</td><td>67cm</td><td>96cm</td><td>38cm</td></tr>
<tr><td class=""col01"">36</td><td>68cm</td><td>100cm</td><td>39cm</td></tr>
<tr><td class=""col01"">38</td><td>70cm</td><td>103cm</td><td>40cm</td></tr>
<tr><td class=""col01"">40</td><td>71cm</td><td>106cm</td><td>42cm</td></tr>
<tr><td class=""col01"">42</td><td>73cm</td><td>111cm</td><td>43cm</td></tr>
</table></td></tr></table>",,,,,,,,
12827,"<span class=""itemComment""><a href=""http://glober.jp/info/exchange.aspx""><font color='red'>セール商品は理由の如何を問わず返品・交換対象外です。<br />詳しくはこちら。<br />返品・交換について</font></a></li></ul><br /><br />大玉のラバストーン（溶岩石）を贅沢に使用したブレスレット。<br />存在感の高いメタルのパーツとも相性抜群。<br /><br />ブランド名「smbati」はタイ語で宝物を意味し、タイの天然石を贅沢に使用してします。デザインはイタリアで行われ、世界中の自然から得たイメージと、東洋のインスピレーションが掛け合わされた神秘的な色と輝きを放ちます。<br />サンバティの留め具は、益鳥として邪気を払う象徴と言われる孔雀をモチーフにしています。<br />ハンドメイドかつ天然石を使用し、全く同じものはない、世界に一つだけのアクセサリーを提案しています。</span>",,,,,,,,,
12840,"<span class=""itemComment"">フランスのエスプリを感じさせるシャンボールの2Wayトートバッグ「CH.825　ブーレ/Bourre」。<br/>外装はソフトなシボ革Lagunを使用し、内張りには手触りが滑らかなツイルコットンキャンバスを使用しています。<br/>荷室はA4サイズのファイルを縦でも横でもおおよそジャストで入る大きさで、通帳が入る大きさのファスナーポケットがあります。<br/>ショルダーストラップは贅沢に本体と同じシボ革を使用。<br/>有名メゾンのファクトリーとして培ったデザイン性と作りの確かさからくる強烈な存在感がありるバッグです。
</span>",,,,,,,,,
12842,"<span class=""itemComment"">目から鱗の快適な着心地とボディにフィットするシルエットにこだわったフランスのカットソー。<br />このコットン生地は昔ながらの丸編み機を使用し、丸胴編みという編み方で時間をかけてゆっくりと筒状に紡いでいきます。<br />丸編み機を使用することにより、伸縮性に富み、やわらかく、継ぎ目のない生地を生み出します。<br />その伸縮性の高さは1サイズでも幅広い体型にマッチし、シルエットはタイトでも締め付ける感触がなく、見た目も柔らか。<br />インナーとしてもたつくことなく、見た目の高級感も抜群なので、ジャケットのインナーとしても使えます。<br />1枚で着ても、インナーとしてもお出かけ出来る快適な着心地のカットソーです。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着丈</th><th>胸囲</th><th>肩幅</th><th>最適胸囲</th></tr>
<tr><td class=""col01"">S</td><td>63cm</td><td>78cm</td><td>37cm</td><td>85～89cm</td></tr>
<tr><td class=""col01"">M</td><td>66cm</td><td>82cm</td><td>38cm</td><td>89～93cm</td></tr>
<tr><td class=""col01"">L</td><td>69cm</td><td>86cm</td><td>39cm</td><td>93～97cm</td></tr>
</table></td></tr></table>
",,,,,,,,
12852,"<span class=""itemComment"">軽くて丈夫な500デニールのコーデュラナイロンを使用した“FLIGHT LIGHT SIRIES”のメッセンジャーバッグ。<br />フラップ部分にはジッパーポケットを装備し、使用頻度の高い小物の収納に便利です。<br />メイン収納部はA4サイズのファイルが余裕で入るサイズ。<br />フラップと本体はバックルで留めるので開閉が簡単。<br />メインの収納部にもバックルがあり、荷物がこぼれ出にくい構造。<br />ショルダーストラップはバックル付きで着脱が簡単。<br />底はナイロンテープで補強しています。<br />容量が大きく機能的、しかも軽いショルダーバッグです。
</span>",,,,,,,,,
12854,"<span class=""itemComment"">軽くて丈夫な500デニールのコーデュラナイロンを使用した“FLIGHT LIGHT SIRIES”のポーチ。<br />荷室の内側前後にポケットが付いており、外側背面にもジッパーポケットがあります。<br />ゲーム機や通帳、化粧品、PCやスマートフォンなどのケーブル、USBメモリーなど増え続ける小物を機能的に収納可能。<br />バッグから取り出した時に人目を引くカラーリングです。<br />ハンドルがついているので、ポーチ単体で持ち歩くこともできます。
</span>",,,,,,,,,
12855,"<span class=""itemComment"">軽くて丈夫な500デニールのミリタリーコーデュラナイロンを使用した“FLIGHT LIGHT SIRIES”のボストンバッグ。<br />前面および内側に小さめのポケット配していますが、それ以外はシンプルでとても軽いつくりになっています。
</span>",,,,,,,,,
12858,"<span class=""itemComment"">アメリカ軍が機材の保護に使用しているキルティングナイロンと500デニールのコーデュラナイロンを組み合わせた“FUSION SIRIES”のボディバッグ。<br />内側と外側にそれぞれ2つのポケットを備え機能性に優れます。<br /><br />キルティングナイロンはデザイン上、ユーズド素材を使用しており、ほつれがある場合がありますが不良品ではございませんので、予めご了承ください。
</span>",,,,,,,,,
12882,"<span class=""itemComment"">パスモなどICカードの携帯に便利な両面レザーのパスケース。<br />両面レザーだから中身が見えず、透明ナイロンのように汚れが目立つこともありません。<br />中央にもポケットがある、3室構造です。

<br /><br />ブライドルレザー製品特有の白い粉状のブルームはそのままの状態で発送させていただいております。<br />ブルームは柔らかい布で拭いたり、ブラッシングすると取れます。</span>",,,,,,,,,
12896,"<span class=""itemComment"">ブリーフィングの本格派カメラバッグ。<br />バッグの中には着脱可能なトートバックが入っており、その内部には3層まで分けることができる着脱可能なパッドが２つあります。<br />パッドで、バックの内部の層を自由に決める事ができ、カメラやレンズをコンパクトに収納することができます。<br />また、PCを収納できるスペースが肉厚なパッドで装備されています。<br />バッグのメインルーム内にはカメラ周辺機器を収納するポケットがあります。<br />内部のトートバックを外せば、ショルダーバック、トートバックの２つのバックとしてお使いいただけます。
</span>",,,,,,,,,
12897,"<span class=""itemComment"">ブリーフィングのコンパクトなカメラバッグ。<br />バッグの中にはミニトートバックが入っており、その内部を２層に分けられる仕切りパッドがあります。<br />仕切りパッドは着脱可能で内部の層を広さを調節可能です。<br />バッグ内部には、カメラ周辺機器を収納できるポケットが相応についています。<br />ミニトートバックを取り外せば、ショルダーバック、ミニトートバックの２つのバックとしてお使いいただけます。
</span>",,,,,,,,,
12920,"<span class=""itemComment"">ラウンドの前から気分が上がるブリーフィングのアイアンカバー。
</span>",,,,,,,,,
12936,"<span class=""itemComment""><a href=""http://glober.jp/info/exchange.aspx""><font color='red'>セール商品は理由の如何を問わず返品・交換対象外です。<br />詳しくはこちら。<br />返品・交換について</font></a></li></ul><br /><br />ロジウムメッキを施したスターリングシルバーと日本製のシルクの紐からなるブレスレット。<br />チャームにはセミプレシャスストーンがちりばめられ、輝きを放ちます。<br />スライダーをずらしてサイズ調整ができ、男女を問わずお使いいただけます。</span>",,,,,,,,,
12940,"<span class=""itemComment"">ブービーバードのデザインが可愛らしいチャムスのキッズ用Tシャツ。<br />長袖Tシャツの上に着るのもおすすめです。<br />裾にはブービーバードのタグが縫い付けられています。
</span>","<table class=""infoTable""><tr><td><table>
<tr><th class=""col01"">サイズ</th><th>着丈</th><th>胸囲</th><th>肩幅</th></tr>
<tr><td class=""col01"">S（90～100）</td><td>36cm</td><td>58cm</td><td>25cm</td></tr>
<tr><td class=""col01"">M（100～115）</td><td>41cm</td><td>65cm</td><td>28cm</td></tr>
<tr><td class=""col01"">L（115～130）</td><td>46cm</td><td>72cm</td><td>31cm</td></tr>
</table></td></tr></table>",,,,,,,,
12947,"<span class=""itemComment"">左右どちらの斜めがけにも対応する縦型ショルダーバッグ。<br />ショルダーベルトは中央と左右の3ヶ所に取り付けることができます。<br />コンパクトなサイズながら長財布を楽々収納できます。<br />多数のポケットを装備しているので休日のお出かけに最適です。<br />レザーはシワと色ムラのあるアンティーク仕上げで、高級感があります。
</span>",,,,,,,,,
12948,"<span class=""itemComment"">ブリーフィングのロッドケース（釣竿ケース）。<br />何本ものロッドをまとめて収納でき、リールなどの周辺アイテムもたくさん付いたポケットに収納できます。
</span>",,,,,,,,,
12953,"<span class=""itemComment"">ジェットは最低限の荷物だけを携帯するミニショルダーバッグ。<br />メイン収納部には長財布、スマートフォン、文庫本が入ります。<br />本体上部にファスナーがあり、フラップ部分が収納スペースのポケットになっています。<br />スマートフォンも入りますし、非接触式パスなどの収納にも便利です。<br />前方と内側にもポケットがあり、いずれのポケットもアイフォンはもちろん、たいていのスマートフォンが入ります。<br />荷物は財布とスマートフォンだけという方におすすめです。
</span>",,,,,,,,,
12954,"<span class=""itemComment"">正方形に近い形と斜めにデザインされたポケットが特徴のショルダーバッグ。<br />メイン室は500mlペットボトルや長財布、手帳などが入ります。<br />各種ポケットやペン挿しも付いており、日常使いに大変使い勝手のよいデザインです。<br />フロントのファスナーポケットと荷室のファスナーはダブルファスナーで左右どちらからでも開閉できます。<br />ショルダーストラップは長さ調節が可能。
</span>",,,,,,,,,
